property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-gnvlp1
title,"ЖНВЛП, отсутствовавшие на фармацевтическом рынке субъектов Российской Федерации в каждый из анализируемых периодов (Мониторинг ассортимента и цен на ЖНВЛП)"
description,"ЖНВЛП, отсутствовавшие на фармацевтическом рынке субъектов Российской Федерации в каждый из анализируемых периодов (Мониторинг ассортимента и цен на жизненно необходимые и важнейшие лекарственные препараты). Ежемесячно."
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20150729
modified,20180806
provenance,"Обновление набора данных"
valid,20210517
subject,"жизненно необходимые и важнейшие лекарственные препараты, отсутствие на фармацевтическом рынке"
data-20180618-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20180618-structure-20160811.csv
data-20180511-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20180511-structure-20160811.csv
data-20180412-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20180412-structure-20160811.csv
data-20180313-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20180313-structure-20160811.csv
data-20180214-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20180214-structure-20160811.csv
data-20180119-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20180119-structure-20160811.csv
data-20171213-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20171213-structure-20160811.csv
data-20171114-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20171114-structure-20160811.csv
data-20171011-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20171011-structure-20160811.csv
data-20170915-structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/data-20170915-structure-20160811.csv
structure-20160811,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/structure-20160811.csv
structure-20150729,http://roszdravnadzor.ru/opendata/7710537160-gnvlp1/structure-20150729.csv
